"","date","confirm","region"
"519",2020-09-17,11,"National"
"520",2020-09-18,9,"National"
"521",2020-09-19,5,"National"
"522",2020-09-20,7,"National"
"523",2020-09-21,9,"National"
"524",2020-09-22,4,"National"
"525",2020-09-23,14,"National"
"526",2020-09-24,7,"National"
"527",2020-09-25,5,"National"
"528",2020-09-26,2,"National"
"529",2020-09-27,2,"National"
"530",2020-09-28,5,"National"
"531",2020-09-29,4,"National"
"532",2020-09-30,18,"National"
"533",2020-10-01,0,"National"
"534",2020-10-02,0,"National"
"535",2020-10-03,0,"National"
"536",2020-10-04,0,"National"
"537",2020-10-05,0,"National"
"538",2020-10-06,0,"National"
"539",2020-10-07,0,"National"
