"t","lower","median","upper","district","fit","date"
84,-0.050823647182726,-0.0139652883920404,0.0312179786098156,"Analamanga","gp",2020-05-05
85,-0.0490130071934484,-0.0099251578807235,0.0369052411715011,"Analamanga","gp",2020-05-06
86,-0.0437222964473178,-0.00740468649547856,0.0435865137520553,"Analamanga","gp",2020-05-07
87,-0.0427830099177024,-0.00297299139379127,0.0507002403318172,"Analamanga","gp",2020-05-08
88,-0.0349296792722437,0.00404869113752391,0.0583644317932555,"Analamanga","gp",2020-05-09
89,-0.0297025721423322,0.0116347741920906,0.0663963230005714,"Analamanga","gp",2020-05-10
90,-0.0270157636923745,0.0149786588629529,0.0745182702822957,"Analamanga","gp",2020-05-11
91,-0.0252201476902213,0.0216275889398725,0.0898136844227111,"Analamanga","gp",2020-05-12
92,-0.02335555029057,0.0267741700463023,0.0963291800588424,"Analamanga","gp",2020-05-13
93,-0.022638636018069,0.0336211811014528,0.100819077206464,"Analamanga","gp",2020-05-14
94,-0.0208268374169141,0.0406192138485038,0.108151649126707,"Analamanga","gp",2020-05-15
95,-0.01427286126317,0.0496046557146321,0.120407864033965,"Analamanga","gp",2020-05-16
96,-0.00585050719619491,0.0573322848076687,0.126455498445701,"Analamanga","gp",2020-05-17
97,0.00580645430423763,0.0632267744569181,0.128711590173376,"Analamanga","gp",2020-05-18
98,0.0126858417889386,0.0747218705113388,0.138603381973506,"Analamanga","gp",2020-05-19
99,0.0167108395137107,0.0840534522233614,0.15067591205949,"Analamanga","gp",2020-05-20
100,0.0235172135209274,0.0919560345443912,0.162558514414365,"Analamanga","gp",2020-05-21
101,0.0409641796992554,0.103034896940235,0.18008222983009,"Analamanga","gp",2020-05-22
102,0.0550992250516261,0.11502235814923,0.199113474964148,"Analamanga","gp",2020-05-23
103,0.0661836788278222,0.123996438719159,0.218668755229558,"Analamanga","gp",2020-05-24
104,0.0720074776182597,0.131745223120698,0.234462463183263,"Analamanga","gp",2020-05-25
105,0.0816441533967017,0.143876154741814,0.241846239319626,"Analamanga","gp",2020-05-26
106,0.0930648715130819,0.158522483236389,0.260023907228107,"Analamanga","gp",2020-05-27
107,0.105492618872188,0.170534286697572,0.261631688972532,"Analamanga","gp",2020-05-28
108,0.119594017404754,0.179315378944672,0.272831346797825,"Analamanga","gp",2020-05-29
109,0.128998581530897,0.189750725739057,0.291165689016533,"Analamanga","gp",2020-05-30
110,0.141071772999341,0.202042582046364,0.304659167710393,"Analamanga","gp",2020-05-31
111,0.148962623583529,0.210915901436853,0.315693655667919,"Analamanga","gp",2020-06-01
112,0.158504125624006,0.22062789815976,0.316426315327161,"Analamanga","gp",2020-06-02
113,0.16847338653492,0.228149187646866,0.310069359896882,"Analamanga","gp",2020-06-03
114,0.176846022465247,0.229456811364023,0.299112731528092,"Analamanga","gp",2020-06-04
115,0.178034475483583,0.229919408556674,0.287794917089062,"Analamanga","gp",2020-06-05
116,0.173358322998689,0.223935169277841,0.28370293813648,"Analamanga","gp",2020-06-06
117,0.16707782020643,0.215498054216403,0.281470250098205,"Analamanga","gp",2020-06-07
118,0.160400718377675,0.203839740309696,0.271917546547919,"Analamanga","gp",2020-06-08
119,0.148089412716946,0.193711272069083,0.254944911692372,"Analamanga","gp",2020-06-09
120,0.137880818252604,0.1800042342826,0.235846443964755,"Analamanga","gp",2020-06-10
121,0.129191214905125,0.167828646583986,0.216928559654916,"Analamanga","gp",2020-06-11
122,0.117687995641911,0.153331639748497,0.199214162320332,"Analamanga","gp",2020-06-12
123,0.106533191505538,0.139579973796669,0.184256544093613,"Analamanga","gp",2020-06-13
124,0.0947350343641902,0.12427410382871,0.169793049245853,"Analamanga","gp",2020-06-14
125,0.0814217684811109,0.109847464753113,0.155277544052221,"Analamanga","gp",2020-06-15
126,0.071479564400848,0.0958651831556859,0.1380620458066,"Analamanga","gp",2020-06-16
127,0.061195288993101,0.0834513886976965,0.121228439693252,"Analamanga","gp",2020-06-17
128,0.0502011780544229,0.0706067692631888,0.10554286572657,"Analamanga","gp",2020-06-18
129,0.042212387210191,0.0611815901001205,0.0898976062694967,"Analamanga","gp",2020-06-19
130,0.0350134540422313,0.0541203613274175,0.0792874189531542,"Analamanga","gp",2020-06-20
131,0.0271889776674237,0.0445220777930969,0.0685248627618615,"Analamanga","gp",2020-06-21
132,0.021942701460675,0.037677512908925,0.0632148943487618,"Analamanga","gp",2020-06-22
133,0.0163921081913403,0.0318206435668997,0.0551106383799003,"Analamanga","gp",2020-06-23
134,0.0111763207954336,0.0253067142795357,0.0457085881873563,"Analamanga","gp",2020-06-24
135,0.00679981767998429,0.0199534374795385,0.0377548461079473,"Analamanga","gp",2020-06-25
136,0.00356511695502698,0.0153307475019984,0.0313620913173439,"Analamanga","gp",2020-06-26
137,0.00234509460129163,0.0106316816606707,0.0242682022257768,"Analamanga","gp",2020-06-27
138,-0.00147820125584143,0.00652668470771333,0.0180396358423762,"Analamanga","gp",2020-06-28
139,-0.00514480281963428,0.00316445783942799,0.0145320533546804,"Analamanga","gp",2020-06-29
140,-0.00894067902979697,-9.6028018550911e-05,0.0102813870697849,"Analamanga","gp",2020-06-30
141,-0.011445921485102,-0.00333625954356846,0.00632906844063786,"Analamanga","gp",2020-07-01
142,-0.0147195398497339,-0.0067851257058664,0.00179122336363126,"Analamanga","gp",2020-07-02
