"t","lower","median","upper","district","fit","date"
94,0.00198466089234626,0.0135246412637628,0.0423165440501553,"Atsinanana","gp",2020-05-15
95,0.00123079782700276,0.0108493136092601,0.0376244908787108,"Atsinanana","gp",2020-05-16
96,-0.00025262434728144,0.00881203433570352,0.0345901992044023,"Atsinanana","gp",2020-05-17
97,-0.00210054917160148,0.00693410939927145,0.0317969626133453,"Atsinanana","gp",2020-05-18
98,-0.0034384085980194,0.00503914978277717,0.0263724430898725,"Atsinanana","gp",2020-05-19
99,-0.00514991063362996,0.00395599034649281,0.0230547144817296,"Atsinanana","gp",2020-05-20
100,-0.00728409695590215,0.00293475674222918,0.0202388774071742,"Atsinanana","gp",2020-05-21
101,-0.0100752184424468,0.00153331595646475,0.0176467557494573,"Atsinanana","gp",2020-05-22
102,-0.0127773576332813,0.000698849571642584,0.0155029007183908,"Atsinanana","gp",2020-05-23
103,-0.0149974056970758,-0.000290928842412119,0.014199853703181,"Atsinanana","gp",2020-05-24
104,-0.016896549778281,-0.000834856972419935,0.0131595723257591,"Atsinanana","gp",2020-05-25
105,-0.0187262316437852,-0.00153881454695994,0.012553347149896,"Atsinanana","gp",2020-05-26
106,-0.0202787535404367,-0.00240582631431838,0.0111786026864633,"Atsinanana","gp",2020-05-27
107,-0.021730147461827,-0.00293961147558087,0.0104604998860595,"Atsinanana","gp",2020-05-28
108,-0.0247265463186342,-0.00336313706655452,0.00951223531276712,"Atsinanana","gp",2020-05-29
109,-0.02911173942423,-0.00397432045489491,0.00854582731526996,"Atsinanana","gp",2020-05-30
110,-0.0336527330329824,-0.00462554495129625,0.00784005293003887,"Atsinanana","gp",2020-05-31
111,-0.0376583240216386,-0.0053650279353653,0.00718646330843587,"Atsinanana","gp",2020-06-01
112,-0.0412818542755764,-0.0066836045793958,0.00780813405158942,"Atsinanana","gp",2020-06-02
113,-0.045337862783689,-0.00724949668214141,0.00705920242608034,"Atsinanana","gp",2020-06-03
114,-0.0498629105108681,-0.00910952528618673,0.00640322225788769,"Atsinanana","gp",2020-06-04
115,-0.0541703973856539,-0.01020814728644,0.00596199074344403,"Atsinanana","gp",2020-06-05
116,-0.0579636061556395,-0.0122599367460765,0.00557867042893704,"Atsinanana","gp",2020-06-06
117,-0.0609797181504038,-0.0138859162949408,0.00529579596152189,"Atsinanana","gp",2020-06-07
118,-0.0632601289797961,-0.0148203466987843,0.00608178006325767,"Atsinanana","gp",2020-06-08
119,-0.065876858557725,-0.0175670437874693,0.00694825620253262,"Atsinanana","gp",2020-06-09
120,-0.0707447353074661,-0.0182084071729713,0.00686006680186005,"Atsinanana","gp",2020-06-10
121,-0.0782353462223752,-0.0195702094878132,0.00732050866726172,"Atsinanana","gp",2020-06-11
122,-0.0830373551285025,-0.0204450994755759,0.00832742836225833,"Atsinanana","gp",2020-06-12
123,-0.091421617303748,-0.0223489747061263,0.00928785133403387,"Atsinanana","gp",2020-06-13
124,-0.102051819726468,-0.0236275604619538,0.0101031444440687,"Atsinanana","gp",2020-06-14
125,-0.107949611875773,-0.0269756869156595,0.010626075097216,"Atsinanana","gp",2020-06-15
126,-0.108380028641389,-0.0289286702867528,0.010827974547253,"Atsinanana","gp",2020-06-16
127,-0.109150560169903,-0.0308218066615911,0.0106958137767693,"Atsinanana","gp",2020-06-17
128,-0.108735834030264,-0.0323184184646415,0.0102365964196136,"Atsinanana","gp",2020-06-18
129,-0.109636018874388,-0.0327297719331796,0.00973290823924895,"Atsinanana","gp",2020-06-19
130,-0.112136920933024,-0.0349884412180544,0.00984106865502936,"Atsinanana","gp",2020-06-20
131,-0.111482376514171,-0.0355476948537966,0.00982975889784482,"Atsinanana","gp",2020-06-21
132,-0.108171021152788,-0.036313463032176,0.00991553979497415,"Atsinanana","gp",2020-06-22
133,-0.108026108229206,-0.0362544211901178,0.00990300711095006,"Atsinanana","gp",2020-06-23
134,-0.106609705078254,-0.0372663006351694,0.0104531229255351,"Atsinanana","gp",2020-06-24
135,-0.104052574642616,-0.0364054157345226,0.0128668223265209,"Atsinanana","gp",2020-06-25
136,-0.104009607992893,-0.0345411261453318,0.01254100012083,"Atsinanana","gp",2020-06-26
137,-0.104746336274216,-0.0352827710587091,0.00885724399132104,"Atsinanana","gp",2020-06-27
138,-0.114499190032843,-0.0340301323377225,0.00796161780299267,"Atsinanana","gp",2020-06-28
139,-0.123725076473745,-0.0351742498834791,0.0142560182583834,"Atsinanana","gp",2020-06-29
140,-0.128291986249494,-0.0369803455998467,0.0158837108709618,"Atsinanana","gp",2020-06-30
141,-0.126256254923326,-0.0306475669726081,0.0143719347771593,"Atsinanana","gp",2020-07-01
142,-0.127999539577221,-0.0261188785423276,0.0211415951712687,"Atsinanana","gp",2020-07-02
143,-0.126714014973743,-0.0219053022456999,0.0260517330422336,"Atsinanana","gp",2020-07-03
144,-0.123703406738878,-0.0225322298012616,0.0290776694061112,"Atsinanana","gp",2020-07-04
145,-0.119106986204853,-0.0222471860319074,0.0307922258171876,"Atsinanana","gp",2020-07-05
146,-0.118821076383869,-0.0209641264942314,0.0362433192314038,"Atsinanana","gp",2020-07-06
147,-0.112960703574316,-0.0197737425203462,0.0413027290715883,"Atsinanana","gp",2020-07-07
148,-0.111161444464742,-0.0197911787317181,0.0411781816249669,"Atsinanana","gp",2020-07-08
149,-0.109654816386432,-0.0183986183026466,0.0407144828240042,"Atsinanana","gp",2020-07-09
150,-0.109578195207623,-0.0171981433923723,0.0410909358331665,"Atsinanana","gp",2020-07-10
151,-0.108751151398273,-0.0163871517223122,0.042532028878637,"Atsinanana","gp",2020-07-11
152,-0.113186153071211,-0.0143010080802765,0.0453265540584196,"Atsinanana","gp",2020-07-12
153,-0.124270673156933,-0.0123334488955711,0.0476007331919045,"Atsinanana","gp",2020-07-13
154,-0.137397917152839,-0.0113665830025528,0.0497546052742351,"Atsinanana","gp",2020-07-14
