"t","lower","median","upper","district","fit","date"
65,-0.00573165705500128,0.0277176558580933,0.0508066429156529,"National","gp",2020-04-16
66,-0.00478018510797817,0.0285467016428575,0.0564544487269375,"National","gp",2020-04-17
67,0.00358234973709316,0.0322687939521211,0.0621182790200417,"National","gp",2020-04-18
68,0.00622807846884618,0.0344001602192988,0.0634372872020439,"National","gp",2020-04-19
69,0.00667315668439474,0.0347020868637365,0.063387525088526,"National","gp",2020-04-20
70,0.00886778757069798,0.035030074600239,0.0652072682686003,"National","gp",2020-04-21
71,0.00398016934237945,0.0325321409324224,0.0674359041869683,"National","gp",2020-04-22
72,0.00209963730780117,0.0302808773912667,0.0617646514166737,"National","gp",2020-04-23
73,0.000440046271374403,0.028462434257524,0.0556886984369887,"National","gp",2020-04-24
74,-0.00331742012912072,0.0257421178884643,0.0502312683976116,"National","gp",2020-04-25
75,-0.0134411716732787,0.020853236650423,0.0461992840573081,"National","gp",2020-04-26
76,-0.0198085100087033,0.0137359018050952,0.0418278446419266,"National","gp",2020-04-27
77,-0.0237973914096232,0.00659424636350683,0.0365156370734242,"National","gp",2020-04-28
78,-0.026935748436476,0.00173120980857385,0.0326188311815863,"National","gp",2020-04-29
79,-0.0313211073485509,-0.0045885114518429,0.0320935312860699,"National","gp",2020-04-30
80,-0.0343688941226111,-0.0137681507857655,0.0283806198388234,"National","gp",2020-05-01
81,-0.0409410318027048,-0.0182163877456697,0.0166135119547013,"National","gp",2020-05-02
82,-0.0510490801197434,-0.0251092479994156,0.00682460927246163,"National","gp",2020-05-03
83,-0.0632558495997531,-0.0324744305222097,-0.00373590631978447,"National","gp",2020-05-04
84,-0.0732841765774033,-0.0402522820992225,-0.00994719458171379,"National","gp",2020-05-05
85,-0.0767078441080171,-0.0469594333626652,-0.017342704491805,"National","gp",2020-05-06
86,-0.0813177895608035,-0.0516027924506807,-0.0219622791470114,"National","gp",2020-05-07
87,-0.0835580785820012,-0.0590327124434191,-0.0264093663548888,"National","gp",2020-05-08
88,-0.0901451208183267,-0.0655904506849018,-0.0372632899095945,"National","gp",2020-05-09
89,-0.101014997192826,-0.0709485466666968,-0.0451374821135626,"National","gp",2020-05-10
90,-0.10686828437984,-0.0760958367060077,-0.0485091174153612,"National","gp",2020-05-11
91,-0.108502612217926,-0.0810239388078953,-0.0519216647695138,"National","gp",2020-05-12
92,-0.108203276383115,-0.0803375502718885,-0.0512699651224961,"National","gp",2020-05-13
93,-0.104874962363353,-0.0801042982420153,-0.0526073405951716,"National","gp",2020-05-14
94,-0.103604211685949,-0.0785413479391455,-0.0489565307190817,"National","gp",2020-05-15
95,-0.102121427106516,-0.0748222000976556,-0.0480286514661854,"National","gp",2020-05-16
96,-0.0980926734089873,-0.0713104512270613,-0.043759717435178,"National","gp",2020-05-17
97,-0.0965047965000209,-0.066110174951341,-0.0380426554319964,"National","gp",2020-05-18
98,-0.0912378522780916,-0.0607919154445398,-0.0318998926491781,"National","gp",2020-05-19
99,-0.0784307553903029,-0.0516257363108332,-0.0214463635376618,"National","gp",2020-05-20
100,-0.0684957393326077,-0.0393307101837748,-0.00710311784395681,"National","gp",2020-05-21
101,-0.0582314106289951,-0.0262741539602923,0.00685279957646768,"National","gp",2020-05-22
102,-0.0471531343988101,-0.0165495489102839,0.0191304762941132,"National","gp",2020-05-23
103,-0.0329473273297028,-0.00261267638965156,0.0357820664578976,"National","gp",2020-05-24
104,-0.0191053282689932,0.0115929639795152,0.0569024166548716,"National","gp",2020-05-25
105,-0.0118736738947608,0.0258202553569766,0.0709639408915837,"National","gp",2020-05-26
106,0.000526698719356968,0.0396844425431873,0.0827791635389302,"National","gp",2020-05-27
107,0.0158861581547737,0.0553073903518946,0.0987474917545548,"National","gp",2020-05-28
108,0.0248897109332759,0.07121817252429,0.108543567574882,"National","gp",2020-05-29
109,0.0398892976404757,0.0847189986721199,0.121510587125012,"National","gp",2020-05-30
110,0.05764789877276,0.102994638346631,0.144428042093062,"National","gp",2020-05-31
111,0.0782996360898764,0.119580235403294,0.171020488608521,"National","gp",2020-06-01
112,0.0948344853089046,0.143608260821683,0.189381882074147,"National","gp",2020-06-02
113,0.11407432469326,0.161256787590365,0.221913574634364,"National","gp",2020-06-03
114,0.127060628582072,0.179718817993311,0.249890930057656,"National","gp",2020-06-04
115,0.139015616735566,0.197296095411325,0.265315200774643,"National","gp",2020-06-05
116,0.156229871415684,0.211354610463596,0.272489968839247,"National","gp",2020-06-06
117,0.172659239367742,0.218614013231772,0.277720809255499,"National","gp",2020-06-07
118,0.17352345406503,0.221776955581915,0.283771351717975,"National","gp",2020-06-08
119,0.176432581066711,0.223329733932019,0.280007658268584,"National","gp",2020-06-09
120,0.177741298544258,0.219211711078802,0.270655114934814,"National","gp",2020-06-10
121,0.169004337871246,0.212095781108799,0.267827435147785,"National","gp",2020-06-11
