"region","run_version","timepoint","parameter","mean","2.5%","25%","psrf","psrf_uci","effective_sample_size"
"Atsinanana","gp",NA,"prob.44",-0.223637091561159,-2.1629423905442,-0.890810265417523,0.998237403204801,0.998928335212511,804
"Atsinanana","gp",NA,"prob.45",-0.0568597976204445,-1.87909616275173,-0.757926812799907,1.00041163169447,1.00160297561073,1018.56409953563
"Atsinanana","gp",NA,"prob.46",-0.048657103163765,-2.02716517102938,-0.735514492425874,1.00920961137475,1.03660878654284,804
"Atsinanana","gp",NA,"prob.47",-0.0411870267035043,-2.03118783533739,-0.70160873488223,0.99965394880576,1.00791964939596,765.812186945164
"Atsinanana","gp",NA,"prob.48",0.0771659811386792,-1.75302482685799,-0.533003161493868,1.00527069393375,1.02352301202244,855.926183390605
"Atsinanana","gp",NA,"prob.49",0.0527745263864986,-1.92194017351094,-0.570707944729701,1.00000028796974,1.00497580889727,848.870127178157
"Atsinanana","gp",NA,"prob.50",0.084495514416635,-1.88428956857376,-0.545780161140341,1.01521166380402,1.05248499179904,755.512856662554
"Atsinanana","gp",NA,"prob.51",0.124100003820696,-1.68063869281321,-0.509585793477739,1.00190353057806,1.01396256114283,750.062496827147
"Atsinanana","gp",NA,"prob.52",0.184796539887698,-1.87298379930903,-0.47156218499003,1.00713155822196,1.02715082968883,839.095607897578
"Atsinanana","gp",NA,"prob.53",0.252446618157936,-1.696130745006,-0.421968506798572,1.00660076420021,1.02538696290599,780.220095965629
"Atsinanana","gp",NA,"prob.54",0.223652150887085,-1.60740093720111,-0.375537723607649,0.998876503754584,1.00175585357161,896.905327664713
"Atsinanana","gp",NA,"prob.55",0.234821176734981,-1.75310515121043,-0.422472150261647,1.01578346573508,1.05690721171085,865.225730802212
"Atsinanana","gp",NA,"prob.56",0.331554546666976,-1.46302815750993,-0.353808618383481,0.998069178435311,1.00262391094215,759.056971800332
"Atsinanana","gp",NA,"prob.57",0.312845221185311,-1.59273276230005,-0.383597367603638,1.00081214948215,1.01037631075536,804
"Atsinanana","gp",NA,"prob.58",0.339781438885958,-1.53618210693266,-0.348308343495421,1.00247269760154,1.01416281508035,710.942581403069
"Atsinanana","gp",NA,"prob.59",0.346128019016257,-1.5321855228789,-0.310113220691312,1.01207673444905,1.04539622089122,825.258469463564
"Atsinanana","gp",NA,"prob.60",0.353105556333925,-1.60226571119087,-0.287906828547172,1.02163223512169,1.07412313225325,761.933807562053
"Atsinanana","gp",NA,"prob.61",0.347225723642176,-1.70373849710082,-0.333412446496646,1.0004902850502,1.01027153329001,855.203605342119
"Atsinanana","gp",NA,"prob.62",0.375092125825436,-1.61204907287217,-0.276908781732614,1.00383777180358,1.01290207727889,783.520662047791
"Atsinanana","gp",NA,"prob.63",0.416015610962434,-1.4060847206808,-0.29320272869098,1.0002646025915,1.00902415400137,868.330184740575
"Atsinanana","gp",NA,"prob.64",0.406831434000986,-1.54552813468651,-0.278367681880472,0.997927486340715,0.998314874972753,804
"Atsinanana","gp",NA,"prob.65",0.418466214971646,-1.48028197878299,-0.255125346828708,1.01241633427554,1.04397008855815,995.978082286047
"Atsinanana","gp",NA,"prob.66",0.382380660120513,-1.50796739227249,-0.285221685601554,1.00906359025139,1.03473763811943,870.918142517421
"Atsinanana","gp",NA,"prob.67",0.360842338445724,-1.49611503164914,-0.338074974669818,1.00142118451817,1.00406637256377,891.610539655399
"Atsinanana","gp",NA,"prob.68",0.384284114846602,-1.48195313882841,-0.263796167048478,1.00447188227351,1.0183844193986,804
"Atsinanana","gp",NA,"prob.69",0.374562537605301,-1.52094537807846,-0.279606989524232,1.00135641627943,1.00756722555077,817.398753157292
"Atsinanana","gp",NA,"prob.70",0.337774431567781,-1.58147187293501,-0.370284597609214,1.004773303056,1.02036950507628,804
"Atsinanana","gp",NA,"prob.71",0.357114639713553,-1.57422089010043,-0.231547645986976,1.00586515042411,1.02176468793343,862.461662624693
"Atsinanana","gp",NA,"prob.72",0.329812796522274,-1.61146534505595,-0.323462830263033,0.998372476711472,1.0034881051313,753.016386893907
"Atsinanana","gp",NA,"prob.73",0.272725574304605,-1.77555121593882,-0.347012748778654,1.00887478824976,1.02044446531017,864.757421699596
"Atsinanana","gp",NA,"prob.74",0.321528349647155,-1.76849278312785,-0.396846673031816,0.998013155319329,1.00195151939571,804
