"date","type","median","mean","sd","lower_90","lower_50","lower_20","upper_20","upper_50","upper_90","region","fit"
2020-06-28,"gp_rt",56,70.5815,56.1977437656628,10,31,45,69,94.25,182,"Analamanga","EpiNow2-IPM-dat"
2020-06-29,"gp_rt",138,171.924,135.417573467408,25,77,111,168,227,436.05,"Analamanga","EpiNow2-IPM-dat"
2020-06-30,"gp_rt",141,175.62175,140.554171214158,26,77,115,172,233.25,449,"Analamanga","EpiNow2-IPM-dat"
2020-07-01,"gp_rt",119,148.82125,116.54007978368,23,65,96,146,199.25,383,"Analamanga","EpiNow2-IPM-dat"
2020-07-02,"gp_rt",107,134.89275,107.712356465595,20,58,87,131,180,350.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-03,"gp_rt",142.5,176.015,137.190584914371,26,77.75,116,174,237,446,"Analamanga","EpiNow2-IPM-dat"
2020-07-04,"gp_rt",97,119.341,94.8607761970941,17,51,77,117,158,301,"Analamanga","EpiNow2-IPM-dat"
2020-07-05,"gp_rt",68,84.26575,65.0780294294173,12,37,54,84,114,214,"Analamanga","EpiNow2-IPM-dat"
2020-07-06,"gp_rt",148,183.66,145.494785415649,25,84,119,181,246,456.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-07,"gp_rt",132,167.43425,132.592480436881,24,74,107,163,224.25,429,"Analamanga","EpiNow2-IPM-dat"
2020-07-08,"gp_rt",105,132.22675,106.100611069658,20,58,86,130,175,328.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-09,"gp_rt",86,108.33975,87.2591763707561,17,48,69.6000000000001,104,142,276,"Analamanga","EpiNow2-IPM-dat"
2020-07-10,"gp_rt",106,132.841,107.415854325328,19,54,84,130,180,340.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-11,"gp_rt",67,84.3815,67.62550007072,12,36,53,82,113,217,"Analamanga","EpiNow2-IPM-dat"
2020-07-12,"gp_rt",45,56.47075,44.9191671486887,8,25,37,55,76,142,"Analamanga","EpiNow2-IPM-dat"
2020-07-13,"gp_rt",100,122.6285,98.4986547319099,17,53,79,120,165,305.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-14,"gp_rt",87,107.3815,83.398290009113,16,48,70.6000000000001,105,143,271.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-15,"gp_rt",66,83.71775,68.3967039572489,12,36,52,81,111,217,"Analamanga","EpiNow2-IPM-dat"
2020-07-16,"gp_rt",55,68.62225,55.6232958633177,9,29,45,67,92,175,"Analamanga","EpiNow2-IPM-dat"
2020-07-17,"gp_rt",66,83.33225,66.2263757361694,12,35,52,81,112,217,"Analamanga","EpiNow2-IPM-dat"
2020-07-18,"gp_rt",42.5,54.32,43.5842976053238,8,23,35,53,73,139,"Analamanga","EpiNow2-IPM-dat"
2020-07-19,"gp_rt",29,36.72775,30.9493310947313,5,15,23,35,48,94,"Analamanga","EpiNow2-IPM-dat"
2020-07-20,"gp_rt",61.5,79.1635,66.288696740688,11,35,50,75,104,210,"Analamanga","EpiNow2-IPM-dat"
2020-07-21,"gp_rt",57,72.45375,57.7068529826206,10,32,46,72,98,184,"Analamanga","EpiNow2-IPM-dat"
2020-07-22,"gp_rt",45,57.6615,46.925029646787,8,25,37,56,76,148,"Analamanga","EpiNow2-IPM-dat"
2020-07-23,"gp_rt",39,48.781,38.4181471118386,8,21,32,48,64,124,"Analamanga","EpiNow2-IPM-dat"
2020-07-24,"gp_rt",51,63.675,51.1523705829365,9,27,41,62,84,162.05,"Analamanga","EpiNow2-IPM-dat"
2020-07-25,"gp_rt",33,42.044,33.8072817167288,6,18,27,41,56,106,"Analamanga","EpiNow2-IPM-dat"
2020-07-26,"gp_rt",22,28.59375,23.2335890652459,4,12,18,28,38,73,"Analamanga","EpiNow2-IPM-dat"
2020-07-27,"gp_rt",52,63.9665,50.1945141431065,9,27,41,64,87,162,"Analamanga","EpiNow2-IPM-dat"
2020-07-28,"gp_rt",49,61.36775,50.3456272230531,8,27,40,60,81,157,"Analamanga","EpiNow2-IPM-dat"
2020-07-29,"gp_rt",39,49.693,40.2270344989056,7,21,31,49,67,127,"Analamanga","EpiNow2-IPM-dat"
2020-07-30,"gp_rt",35,43.8355,34.791256770012,7,20,28,42,59,111,"Analamanga","EpiNow2-IPM-dat"
2020-07-31,"gp_rt",45,55.9085,45.0630202793729,7,24,36,55,75,145,"Analamanga","EpiNow2-IPM-dat"
2020-08-01,"gp_rt",30,38.3775,30.6025427482042,5,17,25,38,51,99.0499999999997,"Analamanga","EpiNow2-IPM-dat"
2020-08-02,"gp_rt",21,26.58175,21.868101664413,3,11,17,26,35,69,"Analamanga","EpiNow2-IPM-dat"
2020-08-03,"gp_rt",49,60.9065,47.8119153827071,8,27,39,60,82,154,"Analamanga","EpiNow2-IPM-dat"
2020-08-04,"gp_rt",44.5,56.462,44.5773467240956,8,25,37,55,76,143.05,"Analamanga","EpiNow2-IPM-dat"
2020-08-05,"gp_rt",37,46.409,36.8362450072827,6,20.75,30,45,61,119,"Analamanga","EpiNow2-IPM-dat"
2020-08-06,"gp_rt",32,40.42,32.0330162259525,5,18,26,40,54,103,"Analamanga","EpiNow2-IPM-dat"
2020-08-07,"gp_rt",41,52.265,42.8276876296973,8,22,33,51,70,134,"Analamanga","EpiNow2-IPM-dat"
2020-08-08,"gp_rt",27,34.37025,27.8985617438309,5,15,22,33,46,93,"Analamanga","EpiNow2-IPM-dat"
2020-08-09,"gp_rt",19,24.1195,19.6884135510467,3,10,15,23,32,63,"Analamanga","EpiNow2-IPM-dat"
2020-08-10,"gp_rt",44,55.99375,44.6711382056093,8,24,37,55,75,142.05,"Analamanga","EpiNow2-IPM-dat"
2020-08-11,"gp_rt",42.5,52.3265,40.7667374150774,7,23,34,52,70,131,"Analamanga","EpiNow2-IPM-dat"
2020-08-12,"gp_rt",33,40.776,32.4328274449518,6,18,26,40,55,103,"Analamanga","EpiNow2-IPM-dat"
2020-08-13,"gp_rt",28,35.61775,28.4683112622444,5,15,23,35,48,90,"Analamanga","EpiNow2-IPM-dat"
2020-08-14,"gp_rt",37,45.636,35.9167371430333,6,20,29,45,62,114.05,"Analamanga","EpiNow2-IPM-dat"
2020-08-15,"gp_rt",24,30.09075,24.5736338441749,4,13,19,29,40,78,"Analamanga","EpiNow2-IPM-dat"
2020-08-16,"gp_rt",17,21.61125,17.8595174634845,3,9,14,21,29,56,"Analamanga","EpiNow2-IPM-dat"
2020-08-17,"gp_rt",38,47.69025,38.0020176210858,7,21,31,46,64,121,"Analamanga","EpiNow2-IPM-dat"
2020-08-18,"gp_rt",35,44.4405,36.1864936866137,6,19,29,43,59,115.05,"Analamanga","EpiNow2-IPM-dat"
2020-08-19,"gp_rt",29,36.0355,29.743224515865,5,15,23,35,49,93.0499999999997,"Analamanga","EpiNow2-IPM-dat"
2020-08-20,"gp_rt",25,31.16275,24.5898338225242,4,14,20,31,42,80,"Analamanga","EpiNow2-IPM-dat"
2020-08-21,"gp_rt",32,40.4165,31.8850465233775,6,18,26,39,54,101.05,"Analamanga","EpiNow2-IPM-dat"
2020-08-22,"gp_rt",20,26.0505,21.2635835349121,3,11,16,25,35,68,"Analamanga","EpiNow2-IPM-dat"
2020-08-23,"gp_rt",15,19.155,15.7085538693467,2,8,12,19,26,49,"Analamanga","EpiNow2-IPM-dat"
2020-08-24,"gp_rt",33,41.6385,33.8055915826889,6,18,27,41,55,107,"Analamanga","EpiNow2-IPM-dat"
2020-08-25,"gp_rt",31,39.034,30.9189640768396,6,17,25,38,52,100,"Analamanga","EpiNow2-IPM-dat"
2020-08-26,"gp_rt",25,31.28825,25.1674295830038,4,14,20,31,42,80,"Analamanga","EpiNow2-IPM-dat"
2020-08-27,"gp_rt",21,26.16825,20.6099644491724,3,11,17,26,35,67,"Analamanga","EpiNow2-IPM-dat"
2020-08-28,"gp_rt",27,33.09025,25.9701697600698,4,14,22,33,45,85,"Analamanga","EpiNow2-IPM-dat"
2020-08-29,"gp_rt",17,21.66675,17.5284627446062,3,9,14,22,30,55,"Analamanga","EpiNow2-IPM-dat"
2020-08-30,"gp_rt",12,15.08075,12.4131886012544,2,6,10,15,20,40,"Analamanga","EpiNow2-IPM-dat"
2020-08-31,"gp_rt",26,32.3045,25.4462896738315,4,14,21,32,44,83,"Analamanga","EpiNow2-IPM-dat"
2020-09-01,"gp_rt",23,29.712,24.5852224779658,4,12,19,29,40,77,"Analamanga","EpiNow2-IPM-dat"
2020-09-02,"gp_rt",18,22.98525,18.5813306547116,3,10,14,23,31,60,"Analamanga","EpiNow2-IPM-dat"
2020-09-03,"gp_rt",15,18.55825,15.5820186999051,2,8,12,18,25,49,"Analamanga","EpiNow2-IPM-dat"
2020-09-04,"gp_rt",18,22.70225,18.179472441247,3,9,14,23,31,57,"Analamanga","EpiNow2-IPM-dat"
2020-09-05,"gp_rt",11,14.2485,11.8004050837264,2,6,9,14,20,37,"Analamanga","EpiNow2-IPM-dat"
2020-09-06,"gp_rt",8,9.6435,8.18963828833871,1,3,6,9,13,26,"Analamanga","EpiNow2-IPM-dat"
2020-09-07,"gp_rt",16,20.0885,16.2103782139856,2.94999999999996,9,13,20,27,52,"Analamanga","EpiNow2-IPM-dat"
2020-09-08,"gp_rt",14,18.28275,15.680601798263,2,7,11,17,25,49,"Analamanga","EpiNow2-IPM-dat"
2020-09-09,"gp_rt",11,13.60275,11.2540928594455,1,6,8,13,19,35,"Analamanga","EpiNow2-IPM-dat"
2020-09-10,"gp_rt",9,11.1855,9.67563921653563,1,4,7,11,15,29,"Analamanga","EpiNow2-IPM-dat"
2020-09-11,"gp_rt",11,13.6695,11.342990593706,1,6,8.60000000000014,13,18,36.0499999999997,"Analamanga","EpiNow2-IPM-dat"
2020-09-12,"gp_rt",7,8.483,7.20153987311992,1,3,5,8,12,23,"Analamanga","EpiNow2-IPM-dat"
2020-09-13,"gp_rt",4,5.75775,5.15826684718004,0,2,3,6,8,16,"Analamanga","EpiNow2-IPM-dat"
