"region","fit","variable","date","type","bottom","top","lower","upper","median","mean"
"National","EpiNow2-IPM-dat","R","2020-04-11","estimate",0.522443541318021,0.921150249982395,0.637689071334235,0.796780868228533,0.714223540901904,0.718119676961341
"National","EpiNow2-IPM-dat","R","2020-04-12","estimate",0.539411009822804,0.950249202942474,0.656557168565241,0.821831131728806,0.738483003479443,0.740928902329437
"National","EpiNow2-IPM-dat","R","2020-04-13","estimate",0.562060745286013,0.990225633696764,0.686098432956266,0.857852001174434,0.772801212953464,0.773390314099648
"National","EpiNow2-IPM-dat","R","2020-04-14","estimate",0.597505595050335,1.03984845013396,0.727371557402299,0.902415661904457,0.819510557640338,0.816572700998194
"National","EpiNow2-IPM-dat","R","2020-04-15","estimate",0.6433730853932,1.09507637528174,0.778730002256186,0.962564341973534,0.87501290773904,0.871566511450056
"National","EpiNow2-IPM-dat","R","2020-04-16","estimate",0.70825624317298,1.15936630926173,0.848577529107423,1.0330765893289,0.944973583101358,0.939372416984963
"National","EpiNow2-IPM-dat","R","2020-04-17","estimate",0.78594353805103,1.23447788727153,0.934631056028449,1.11496833100168,1.02640797043495,1.02071870068999
"National","EpiNow2-IPM-dat","R","2020-04-18","estimate",0.884390050915765,1.33175346282519,1.03013133385028,1.20930649784134,1.12024533763992,1.11579457119363
"National","EpiNow2-IPM-dat","R","2020-04-19","estimate",0.998584005256434,1.44021200568332,1.13819468445988,1.3120437583071,1.22682644211105,1.22390070721776
"National","EpiNow2-IPM-dat","R","2020-04-20","estimate",1.1214916175876,1.57153856171042,1.25425013806059,1.42935698320331,1.33942728879602,1.34304749777001
"National","EpiNow2-IPM-dat","R","2020-04-21","estimate",1.24773953505695,1.72509005663581,1.37222759333757,1.56047896876624,1.4613157076362,1.46957677785327
"National","EpiNow2-IPM-dat","R","2020-04-22","estimate",1.35059661426894,1.87875914479024,1.48490244419765,1.69948323197616,1.58463033942363,1.5979359820834
"National","EpiNow2-IPM-dat","R","2020-04-23","estimate",1.43865446857858,2.04732793754682,1.59190741143548,1.83375168858431,1.70646131580842,1.72077084700252
"National","EpiNow2-IPM-dat","R","2020-04-24","estimate",1.50555763268171,2.20845529318184,1.67747514326922,1.96256334020286,1.81230874425296,1.82948560350962
"National","EpiNow2-IPM-dat","R","2020-04-25","estimate",1.55365425144303,2.33279944821327,1.7463895898353,2.06338849144647,1.89932736945538,1.91531193223593
"National","EpiNow2-IPM-dat","R","2020-04-26","estimate",1.58122761277356,2.43041210002983,1.78467558569616,2.12975768088858,1.95380598076088,1.97073365286144
"National","EpiNow2-IPM-dat","R","2020-04-27","estimate",1.59204099042957,2.47097267828233,1.80224858380948,2.15324965588029,1.97253380597634,1.99090969470043
"National","EpiNow2-IPM-dat","R","2020-04-28","estimate",1.5873189904553,2.43671262468106,1.79215620314533,2.13601071111132,1.95554937609468,1.97465031375386
