"machine","test","target","dilution","run","isolate","replicate","Ct","run.isolate.replicate","isolate.replicate","flag"
"QuantStudio5","DAAN","ORF1ab",1e-06,"2","3","1",32.987,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"2","3","1",36.431,"2-3-1","3-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"2","3","1",38.803,"2-3-1","3-1",1
"QuantStudio5","DAAN","N",1,"3","1","1",10.663,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",0.1,"3","1","1",14.092,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",0.01,"3","1","1",17.4,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",0.001,"3","1","1",20.703,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-04,"3","1","1",23.958,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-05,"3","1","1",26.705,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-06,"3","1","1",30.515,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-07,"3","1","1",34.049,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",1e-08,"3","1","1",37.067,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1,"3","1","1",12.592,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.1,"3","1","1",16.484,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.01,"3","1","1",19.973,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",0.001,"3","1","1",23.587,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-04,"3","1","1",26.99,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-05,"3","1","1",29.993,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-06,"3","1","1",33.895,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-07,"3","1","1",37.505,"3-1-1","1-1",1
"QuantStudio5","DAAN","ORF1ab",1e-08,"3","1","1",40.907,"3-1-1","1-1",1
"QuantStudio5","DAAN","N",1,"3","2","1",10.543,"3-2-1","2-1",1
"QuantStudio5","DAAN","N",0.1,"3","2","1",13.913,"3-2-1","2-1",1
"QuantStudio5","DAAN","N",0.01,"3","2","1",17.349,"3-2-1","2-1",1
